地名,センター（center.csvを使わない場合は空白化）,可燃ごみ,不燃ごみ,資源ごみ,処理困難ごみ 電池・体温計,処理困難ごみ 蛍光管
三郷町　伊保中切、三共、寺張、上畑、深瀬、中組、殿畑、椋実,,火 金,20181026 20181127 20181225 20190128 20190225 20190326,20181026 20181127 20181225 20190128 20190225 20190326,20181225 20190326,20181026 20190128
三郷町　宮の前、西組、大沢、中切、東組,,火 金,20181025 20181126 20181225 20190128 20190225 20190325,20181025 20181126 20181225 20190128 20190225 20190325,20181225 20190325,20181025 20190128
武並町　花の木、山足、上の洞、瀬々良瀬、相戸、田尻,,月 木,20181022 20181120 20181219 20190123 20190220 20190319,20181022 20181120 20181219 20190123 20190220 20190319,20181219 20190319,20181022 20190123
武並町　宿、上野、新田、中切、美濃、陽光,,月 木,20181023 20181121 20181220 20190124 20190221 20190320,20181023 20181121 20181220 20190124 20190221 20190320,20181220 20190320,20181023 20190124
笠置町,,月 木,20181029 20181128 20181226 20190129 20190226 20190327,20181029 20181128 20181226 20190129 20190226 20190327,20181226 20190327,20181029 20190129
中野方町,,月 木,20181030 20181129 20191227 20190130 20190227 20190328,20181030 20181129 20191227 20190130 20190227 20190328,20191227 20190328,20181030 20190130
飯地町,,月 木,20181031 20181130 20181228 20190131 20190228 20190329,20181031 20181130 20181228 20190131 20190228 20190329,20181228 20190329,20181031 20190131
岩村町　本町、柳町、新道、江戸町,,火 金,20181003 20181105 20181205 20190108 20190205 20190305,20181003 20181105 20181205 20190108 20190205 20190305,20181205 20190305,20181003 20190108
岩村町　新市場、殿町、東分根、日の出町、日の出三丁目,,火 金,20181001 20181101 20181203 20190107 20190201 20190301,20181001 20181101 20181203 20190107 20190201 20190301,20181203 20190301,20181001 20190107
岩村町　一色、新町、西町、石畑、大根洞、朝日町、緑ヶ丘,,火 金,20181002 20181102 20181204 20190107 20190204 20190304,20181002 20181102 20181204 20190107 20190204 20190304,20181204 20190304,20181002 20190107
岩村町　一～三区、山上、上平、菅沼、大通寺、八本木住宅、領家、エコーハイツ、さつきヶ丘、フォーレスカスガイ、フラワーヒルズ、レジデンス創,,火 金,20181004 20181106 20181206 20190109 20190206 20190306,20181004 20181106 20181206 20190109 20190206 20190306,20181206 20190306,20181004 20190109
岩村町　四～八区、百合ヶ丘、旭ｹ丘、下本郷,,火 金,20181005 20181107 20181207 20190110 20190207 20190307,20181005 20181107 20181207 20190110 20190207 20190307,20181207 20190307,20181005 20190110
山岡町　東,,火 金,20181012 20181113 20181213 20190117 20190214 20190313,20181012 20181113 20181213 20190117 20190214 20190313,20181213 20190313,20181012 20190117
山岡町　北、南,,火 金,20181012 20181113 20181213 20190117 20190214 20190313,20181012 20181113 20181213 20190117 20190214 20190313,20181213 20190313,20181012 20190117
山岡町　西,,火 金,20181010 20181109 20181211 20190115 20190212 20190311,20181010 20181109 20181211 20190115 20190212 20190311,20181211 20190311,20181010 20190115
山岡町　下手向、釜屋,,火 金,20181011 20181112 20181212 20190116 20190213 20190312,20181011 20181112 20181212 20190116 20190213 20190312,20181212 20190312,20181011 20190116
山岡町　原、田代,,火 金,20181009 20181108 20181210 20190111 20190208 20190308,20181009 20181108 20181210 20190111 20190208 20190308,20181210 20190308,20181009 20190111
明智町　東山町、友愛,,火 金,20181118 20181116 20181214 20190118 20190215 20190315,20181118 20181116 20181214 20190118 20190215 20190315,20181214 20190315,20181118 20190118
明智町　駅前町、新井町、滝坂ハイツ２１、滝坂住宅,,火 金,20181019 20181119 20181217 20190121 20190218 20190318,20181019 20181119 20181217 20190121 20190218 20190318,20181217 20190318,20181019 20190121
明智町　向町、新町、東町、徳間町,,火 金,20181022 20181120 20181218 20190122 20190219 20190319,20181022 20181120 20181218 20190122 20190219 20190319,20181218 20190319,20181022 20190122
明智町　宮町、市場町、常盤町、本町,,火 金,20181016 20181115 20181214 20190118 20190215 20190314,20181016 20181115 20181214 20190118 20190215 20190314,20181214 20190314,20181016 20190118
明智町　高波、小杉、大馬渡、中切、的場町、馬木、片平町、峰山、落倉,,火 金,20181024 20181122 20181220 20190124 20190221 20190322,20181024 20181122 20181220 20190124 20190221 20190322,20181220 20190322,20181024 20190124
明智町　阿妻、安主、田良子、柏尾、岩竹、才坂、上田、大栗、土助,,火 金,20181023 20181121 20181219 20190123 20190220 20190320,20181023 20181121 20181219 20190123 20190220 20190320,20181219 20190320,20181023 20190123
明智町　吉良見、小泉、杉平、大舟、門野、野志,,火 金,20181025 20181126 20181221 20190125 20190222 20190325,20181025 20181126 20181221 20190125 20190222 20190325,20181221 20190325,20181025 20190125
串原　柿畑、閑羅瀬、岩倉、松本、松林、森上、川ヶ渡、相走、大竹、大平、大野、福原、峯、木根,,火 金,20181026 20181127 20191225 20190128 20190225 20190326,20181026 20181127 20191225 20190128 20190225 20190326,20191225 20190326,20181026 20190128
串原　中沢,,火 金,20181024 20181122 20181220 20190124 20190221 20190322,20181024 20181122 20181220 20190124 20190221 20190322,20181220 20190322,20181024 20190124
上矢作町　横道、小笹原、川原島住宅、達原、島,,火 金,20181030 20181129 20181227 20190130 20190227 20190328,20181030 20181129 20181227 20190130 20190227 20190328,20181227 20190328,20181030 20190130
上矢作町　飯田洞、本郷、末広住宅、木の実,,火 金,20181029 20181128 20181226 20190129 20190226 20190327,20181029 20181128 20181226 20190129 20190226 20190327,20181226 20190327,20181029 20190129
上矢作町　下、漆原、小田子,,火 金,20181031 20181130 20181228 20190131 20190228 20190329,20181031 20181130 20181228 20190131 20190228 20190329,20181228 20190329,20181031 20190131
